ticks
UNP
OSCR
HRL
CHNG
DOYU
UA
DKS
MUX
IRM
BAX
HIPO
UPS
ARNA
TWLO
CANO
SPLK
GERN
ENLC
VET
OKE
GRUB
VMEO
DOCS
VRT
LESL
WPM
NRG
MTCH
DCPH
EW
EXK
MOMO
ROL
CROX
PHM
GOL
ETSY
KPLT
DT
SEEL
LYV
ANET
TSP
ADM
SBS
GPK
PLAN
OSH
STT
HIMS
PAAS
AEM
YUMC
INFI
WELL
BLMN
SBRA
KBH
IOVA
GOGL
LBTYK
EXPE
VNET
EPZM
RGS
GBT
MGI
VTR
SONO
HES
VMW
FL
CZR
MMM
LYB
HRTX
OMC
KC
K
MNST
SFM
LMND
EA
YNDX
CIM
EIX
EGO
EPAY
PHG
VIR
ABCL
VIAV
TTE
OLPX
BIIB
TPX
BGCP
TMC
ARR
PXD
GPRO
SUNL
YPF
ACAD
VIEW
INFO
OTIS
WEN
XM
COUP
WB
WTI
QD
CSGP
CLSK
DNB
EXEL
NAVI
HUN
TTOO
IRNT
ESSC
CIEN
ADMA
EXAS
AMX
UNM
TBPH
SLM
HNST
GRWG
GEO
MAS
OGN
PSEC
RDN
RRD
ZTS
INFN
FBP
TSN
AZUL
ADT
INDI
TRP
BNS
ROST
LXP
TS
BDN
ALL
IBRX
MPLX
DDD
ALDX
COLD
PBI
CRIS
SKIN
PAVM
VLY
MGNI
GDDY
TMX
ICE
PAYX
WRK
CCO
CTMX
MCRB
BLNK
DG
LX
TOL
DHC
ALK
SWKS
TTWO
WOOF
TEAM
BLI
HLT
TAP
SAND
ATI
SBLK
LPTX
VLTA
DVAX
XFOR
NXPI
ZBH
GENI
IRWD
MAR
AMT
BILL
ANF
LICY
TACO
WPRT
SPG
HLX
SRGA
PAGP
PAYO
REE
RKDA
EGHT
HRB
BDSI
VSTM
ONON
PCAR
MIC
SITC
LLNW
A
GDRX
OEG
RDUS
KNDI
MMC
USFD
PNC
EVBG
URBN
BEST
ALLO
RPRX
ATHX
SQM
WDAY
CTXS
OLN
STLD
IR
FTNT
ARMK
KMB
FNF
TGTX
ESPR
WM
NTNX
CI
FTV
INTU
CG
OKTA
STX
CPE
VSCO
CCI
BLL
MCFE
NGCA
DFS
CHD
SMFR
TDS
ITCI
DXC
SELB
LW
AEHR
SHCR
VERU
SWCH
NVO
LULU
IPOF
RIGL
EDIT
DE
SPWH
VTNR
SOL
FSK
MUFG
MUR
UPWK
ZIXI
FRO
PEG
UDR
BWA
BOX
ELY
AEVA
VRTX
ETN
CRSP
CERS
DRE
XRAY
SPR
NTAP
BLND
SMAR
BODY
OLO
JEF
ZEN
VGR
HOLX
ISRG
BIGC
NMTR
PGEN
RLJ
HFC
SGMO
BUD
CTRM
PPD
CBAT
WSC
MGY
ABR
SUNW
TGNA
QFIN
CB
IGT
EQR
MTDR
INMD
ADVM
KODK
PVG
PRCH
GCI
VNT
EXTR
SNY
ATAI
MIR
HOFV
GOOGL
ACRX
PANW
AHT
FATE
ONB
MKC
HIG
CTIC
NRXP
CTXR
CDNS
INSG
BROS
DS
LMT
DHT
AGRX
UNIT
NVTS
FRSH
LAUR
TER
BMBL
PTE
DLO
WW
DQ
HCA
SVC
KMX
CLR
ASRT
CYTO
W
CD
ADP
KL
AXTA
TMO
NOW
INVZ
HTHT
PFG
ALTO
ACGL
MOGO
TRGP
NRDY
AIV
CADE
ABB
OSTK
FLR
KRG
LOTZ
LEVI
LVO
PRGO
NCR
HUM
WMG
TWNK
UMPQ
AVIR
AMBP
APPH
CALX
LHX
DNUT
RY
HDB
AERI
WOLF
ORI
PLAY
LKQ
LIN
WIMI
ZY
CCXI
APTV
TRV
ENVX
VCRA
XPO
CNI
PLBY
BSIG
SIX
BXMT
TKC
ML
SSRM
SINO
TPGY
HP
KLAC
FHTX
BYSI
BMRN
UBX
EAF
MRSN
CHTR
CMA
CMS
QSR
RGLS
DADA
TALK
ARLO
PD
NVST
ORTX
ADSK
AYRO
PFGC
SLGC
RETA
CNDT
KOPN
VNO
DBI
CZOO
SHLS
RNG
EMN
ESTC
NMRK
FREY
OLLI
YUM
PTLO
IDRA
FOUR
GLPI
DAR
PKI
COUR
ES
FFIE
CC
SPGI
PSTH
BLDE
CPRI
FINV
SHOP
HTGC
CDTX
MDRX
FR
PNR
FRSX
ISEE
GDS
SYK
KNX
CENX
FLO
FSLR
KAR
IFF
CHX
STAG
QRVO
CSPR
SBNY
BRO
SWK
IIVI
WEC
CBRE
MRVI
FGEN
DLR
SKX
LNC
VRAY
NGL
VTGN
OCSL
WLTW
SUMO
ALSN
SHLX
BRMK
CHKP
FLS
WSM
ACCD
LRCX
SPOT
DRI
RENT
AER
BDX
KALA
LZ
AFMD
GOOG
CLX
KLIC
ZION
GNTX
AON
SEDG
CURV
HZNP
ESI
TROW
MBIO
LSPD
ILMN
ENTG
AKAM
BCTX
OMF
ARI
MVST
AZEK
ASB
QUOT
QSI
BKSY
FIVN
IONS
TGLS
CHRW
NYT
XPDI
NBEV
AVYA
UGI
AEZS
TWOU
LPX
BVN
ATO
TEL
AXL
ZEV
CEMI
CLBS
CFX
DGX
GNCA
GNLN
TDUP
AQB
RWT
TT
GLBE
AVLR
WATT
CXM
PRPB
CTLT
HAYW
GH
TXT
EL
AREC
RJF
RSKD
AFIN
GTLB
CRTX
TPIC
JBL
CME
MX
MMP
CPRX
NSC
TRMB
BDTX
LTCH
QDEL
OGE
MEIP
WTRG
PNM
VVV
MTB
DBVT
SIG
CWK
UXIN
SBGI
CVET
VRNS
CPLG
SGFY
BZUN
SCS
EVRG
EPAM
RWLK
EXPD
GSM
LPRO
GLNG
PMT
CYH
RDFN
CYTK
ETR
SMRT
FWONK
PPG
BCE
PCOR
RLGY
CSIQ
CRBP
TV
ANGI
RVLV
TRVN
CDW
DK
AROC
JKS
SHW
MDB
SWBI
ATIP
CARG
LBTYA
STZ
CMC
TENB
CGEN
SCCO
HR
AVDX
PDCE
RC
FULT
HQY
IMMR
PLTK
BJ
FYBR
SBH
HIW
TRQ
SSNC
APP
HALO
MGA
OC
IVC
WES
ALB
RSI
SRPT
GD
SLDB
CDAY
CWH
WCN
ALKS
ELOX
PUBM
CCEP
SCPL
SI
SB
AWH
MWA
TPH
MNTV
VRSK
KBR
BGFV
SEAH
ATEC
ZUO
MIND
PCT
APRN
LH
APRE
NEO
DOMA
TROX
BPMP
EQC
CMRX
BRBR
TYME
CGNT
BIG
SFL
KEYS
ALNY
OUT
TTM
TTMI
SNV
PAYA
OI
MGP
ATNX
VKTX
VNE
DEI
YETI
LSCC
FVRR
XYL
ASML
MAPS
ARE
CMI
EAT
LEV
FRC
VLD
VIRT
OSUR
AQST
YEXT
GCP
GOOS
PNW
QURE
VEEV
CRSR
RRR
BGS
ARNC
PWR
VFF
CODX
KN
PVH
AVXL
WBT
FLWS
UPH
NEPT
OIS
EHC
ANTM
POSH
UNVR
ODT
NFE
ST
PING
HAIN
NNN
DXLG
OPAD
LPSN
AL
LNT
ATHM
RSG
ABC
MXCT
LEGN
MDU
CELH
CTRE
AQMS
AOS
POWI
SGMS
TU
TRVG
OPCH
LBRDK
KTOS
XOS
YALA
LYEL
ENIA
GRPN
ICPT
ZYME
THC
STNG
MESA
HLTH
NWG
PLYA
NBRV
ONCT
NBIX
LFST
LIDR
COOK
SLG
EQOS
ASTS
ORGO
TRU
MCK
CIT
AMKR
OBSV
IMVT
GNRC
EFC
ATRA
TASK
ADS
SSYS
NVT
ZG
DNOW
AVPT
NMR
LITE
CALA
AJG
WPC
MRCY
DXCM
